Marine Recreational Information Program Query Results

Your Query Parameters:

·Query: MRIP CATCH TIME SERIES

·Year: 1981 - 2024

·Summary:ANNUAL

·Fishing Year: CALENDAR YEAR (JANUARY 1 - DECEMBER 31)

·Geographic Area: NORTH AND MID-ATLANTIC

·Species: BLACK SEA BASS                                                                                                                                                                                          

·Fishing Mode: ALL MODES COMBINED

·Fishing Area: ALL AREAS COMBINED

·Type of Catch: ALL CATCH TYPES (TYPE A, B1, and B2)

Information:

·NUMBERS OF FISH

MRIP does not support the use of estimates with a percent standard error above 50 and in those instances, recommends considering higher levels of aggregation (e.g., across states, geographic regions, or fishing modes).

Results from 1981-2017 contain estimates resulting from the full application of both the Access Point Angler Intercept Survey (APAIS) and Fishing Effort Survey (FES) calibration.

As of 2018 wave 1, all estimates of shore and private/rental boat fishing effort are now based on the FES.

MRIP estimates for Louisiana are not available after 2013. State produced estimates are available through the MRIP National Query. For more information on state run surveys and estimates, please click <a href='http://www.wlf.louisiana.gov/lacreel' target='_blank'>here</a>.

Estimates for Hawaii (prior to 2023) and Puerto Rico (prior to 2014) are based on Marine Recreational Fisheries Statistics Survey methodology and have not been calibrated.

Beginning in 2023, estimates for Hawaii are produced using certified MRIP survey designs and weighted estimation methods.

As part of the government's guidelines for statistical programs, the Office of Management and Budget requires federal agencies to establish their own criteria for statistical precision (Standard 4.1.5 in OMB Standards and Guidelines for Statistical Surveys)

Upper and lower confidence limits are calculated using a standard 95% confidence interval. The lower 95% confidence interval is truncated at 0 to match graph output.

<a href='https://www.fisheries.noaa.gov/recreational-fishing-data/recreational-fishing-data-glossary#percent-standard-error-(pse)' target='_blank'><b>PSE</b></a>, or percent standard error, is automatically included in all outputs. The higher an estimate's Percent Standard Error, or PSE, the larger the margin of error around the estimate, which means there is more uncertainty in the estimate.

Estimates with a percent standard error exceeding 50 are not statistically different from zero using a standard 95% confidence interval.  Note this significance comparison is not suggesting these estimates all equal zero, but is rather intended to illustrate their high uncertainty.

"Estimate Status","Year","Fishing Year","Common Name","Cumulative Through","PSE Observed Harvest (A)","Does Observed Harvest (A) Meet MRIP Standard","Is Observed Harvest (A) Significantly Different From 0","Observed Harvest (A)","Observed Harvest (A) Lower 95% Confidence Limit","Observed Harvest (A) Upper 95% Confidence Limit","PSE Reported Harvest (B1)","Does Reported Harvest (B1) Meet MRIP Standard","Is Reported Harvest (B1) Significantly Different From 0","Reported Harvest (B1)","Reported Harvest (B1) Lower 95% Confidence Limit","Reported Harvest (B1) Upper 95% Confidence Limit","PSE Released Alive (B2)","Does Released Alive (B2) Meet MRIP Standard","Is Released Alive (B2) Significantly Different From 0","Released Alive (B2)","Released Alive (B2) Lower 95% Confidence Limit","Released Alive (B2) Upper 95% Confidence Limit","** Contribution of Imputed Data to Observed Harvest Rate","** Contribution of Imputed Data to Reported Harvest Rate","** Contribution of Imputed Data to Released Alive Rate"
"FINAL",1981,"CALENDAR YEAR (JAN 1 - DEC 31)","BLACK SEA BASS","ANNUAL",30.3,"CAUTION","YES",1557828,632665,2482991,40.2,"CAUTION","YES",829699,175963,1483436,70.5,"NO","NO",5293328,0,12607650,"0%","0%","0%"
"FINAL",1982,"CALENDAR YEAR (JAN 1 - DEC 31)","BLACK SEA BASS","ANNUAL",17.5,"YES","YES",9376646,6160456,12592835,23.6,"YES","YES",1319433,709116,1929749,23.2,"YES","YES",2128906,1160850,3096962,"0%","0%","0%"
"FINAL",1983,"CALENDAR YEAR (JAN 1 - DEC 31)","BLACK SEA BASS","ANNUAL",19.7,"YES","YES",3583508,2199844,4967172,28,"YES","YES",1491921,673155,2310687,16.8,"YES","YES",3096943,2077182,4116705,"0%","0%","0%"
"FINAL",1984,"CALENDAR YEAR (JAN 1 - DEC 31)","BLACK SEA BASS","ANNUAL",26.7,"YES","YES",2055354,979746,3130962,33,"CAUTION","YES",391815,138389,645241,36.4,"CAUTION","YES",2119077,607243,3630912,"0%","0%","0%"
"FINAL",1985,"CALENDAR YEAR (JAN 1 - DEC 31)","BLACK SEA BASS","ANNUAL",15.1,"YES","YES",3258778,2294310,4223246,25.7,"YES","YES",1233163,611994,1854332,12.1,"YES","YES",4481324,3418533,5544115,"0%","0%","0%"
"FINAL",1986,"CALENDAR YEAR (JAN 1 - DEC 31)","BLACK SEA BASS","ANNUAL",27,"YES","YES",11806358,5558433,18054283,31,"CAUTION","YES",7448209,2922677,11973740,14.5,"YES","YES",10189544,7293676,13085413,"0%","0%","0%"
"FINAL",1987,"CALENDAR YEAR (JAN 1 - DEC 31)","BLACK SEA BASS","ANNUAL",26.3,"YES","YES",2270876,1100285,3441467,22.8,"YES","YES",271965,150429,393501,14.5,"YES","YES",2894166,2071644,3716688,"0%","0%","0%"
"FINAL",1988,"CALENDAR YEAR (JAN 1 - DEC 31)","BLACK SEA BASS","ANNUAL",18,"YES","YES",2549010,1649719,3448300,26.7,"YES","YES",893927,426117,1361737,14.9,"YES","YES",6380330,4517018,8243641,"0%","0%","0%"
"FINAL",1989,"CALENDAR YEAR (JAN 1 - DEC 31)","BLACK SEA BASS","ANNUAL",18.5,"YES","YES",4781613,3047800,6515426,16.4,"YES","YES",1785085,1211287,2358883,9.9,"YES","YES",4654286,3751169,5557404,"0%","0%","0%"
"FINAL",1990,"CALENDAR YEAR (JAN 1 - DEC 31)","BLACK SEA BASS","ANNUAL",18.2,"YES","YES",3973616,2556148,5391085,21,"YES","YES",1108923,652490,1565355,14.3,"YES","YES",9217233,6633827,11800639,"0%","0%","0%"
"FINAL",1991,"CALENDAR YEAR (JAN 1 - DEC 31)","BLACK SEA BASS","ANNUAL",13.1,"YES","YES",4688198,3484457,5891940,17.4,"YES","YES",1349285,889125,1809445,10.4,"YES","YES",8613382,6857630,10369134,"0%","0%","0%"
