"","YEAR","DATA_VALUE","CATEGORY","INDICATOR_TYPE","INDICATOR_NAME","INDICATOR_UNITS"
"1",1989,328185,"Recreational","Socioeconomic","rec_trips","n"
"2",1990,348976,"Recreational","Socioeconomic","rec_trips","n"
"3",1991,250350.7,"Recreational","Socioeconomic","rec_trips","n"
"4",1992,323687.1,"Recreational","Socioeconomic","rec_trips","n"
"5",1993,397220.4,"Recreational","Socioeconomic","rec_trips","n"
"6",1994,340540,"Recreational","Socioeconomic","rec_trips","n"
"7",1995,364435,"Recreational","Socioeconomic","rec_trips","n"
"8",1996,364302,"Recreational","Socioeconomic","rec_trips","n"
"9",1997,521681.5,"Recreational","Socioeconomic","rec_trips","n"
"10",1998,136390.7,"Recreational","Socioeconomic","rec_trips","n"
"11",1999,233598,"Recreational","Socioeconomic","rec_trips","n"
"12",2000,373110,"Recreational","Socioeconomic","rec_trips","n"
"13",2001,447759,"Recreational","Socioeconomic","rec_trips","n"
"14",2002,457155.1,"Recreational","Socioeconomic","rec_trips","n"
"15",2003,463278,"Recreational","Socioeconomic","rec_trips","n"
"16",2004,269853,"Recreational","Socioeconomic","rec_trips","n"
"17",2005,434848.7,"Recreational","Socioeconomic","rec_trips","n"
"18",2006,457052,"Recreational","Socioeconomic","rec_trips","n"
"19",2007,676719,"Recreational","Socioeconomic","rec_trips","n"
"20",2008,495428,"Recreational","Socioeconomic","rec_trips","n"
"21",2009,870738,"Recreational","Socioeconomic","rec_trips","n"
"22",2010,1095333,"Recreational","Socioeconomic","rec_trips","n"
"23",2011,454214,"Recreational","Socioeconomic","rec_trips","n"
"24",2012,697535.6,"Recreational","Socioeconomic","rec_trips","n"
"25",2013,664322.1,"Recreational","Socioeconomic","rec_trips","n"
"26",2014,827577.4,"Recreational","Socioeconomic","rec_trips","n"
"27",2015,1263485.5,"Recreational","Socioeconomic","rec_trips","n"
"28",2016,1102005,"Recreational","Socioeconomic","rec_trips","n"
"29",2017,1153189,"Recreational","Socioeconomic","rec_trips","n"
"30",2018,1159492.3,"Recreational","Socioeconomic","rec_trips","n"
"31",2019,1367989,"Recreational","Socioeconomic","rec_trips","n"
"32",2020,1582995.5,"Recreational","Socioeconomic","rec_trips","n"
"33",2021,1642972.5,"Recreational","Socioeconomic","rec_trips","n"
"34",2022,1591714.3,"Recreational","Socioeconomic","rec_trips","n"
"35",2023,1487630,"Recreational","Socioeconomic","rec_trips","n"
"36",2024,1360922,"Recreational","Socioeconomic","rec_trips","n"
